path,sha256,bytes
data/frozen/adopted_model_inputs/README.md,247dcf038cddbb86ba8dfc95195c2181718cc87f75d0aa91445c82c15abd5731,548
data/frozen/adopted_model_inputs/commission_poland_exogenous_path_20260310.csv,d74f6f0714e250900bfe0ec95966fa899420372846e954197850cd4f9c585d73,3630
data/frozen/adopted_model_inputs/country_feature_panel.csv,f102632561f2dd5e1cdb1a47e290cb3e25fd44cdba8faf7bf3eb6983ae554427,580740
data/frozen/adopted_model_inputs/ec_poland_dsm2025_baseline_table_20260308.csv,53507933b9dccc2e5f45eaef3f8a18a2bcc84b596f3bb09806ab6acdb9a1f7cb,2859
data/frozen/adopted_model_inputs/eu27_lp_joint_panel_snapshot.csv,b9ede8dbdfa659f8d43f654e9ca3e70b98e2037662ea8f8bf589019aedf8c10a,184318
data/frozen/adopted_model_inputs/eurostat_irt_h_mr3_a_snapshot.csv,67a1880329354dfe787638c52867ec04419d01b11c6d874a38a73cd241c412d1,35266
data/frozen/adopted_model_inputs/eurostat_irt_h_mr3_m_snapshot.csv,acbc21ad865f58f340ab09ed27d79668ab5735c2cd5874835d5dd48d520936c1,422632
data/frozen/adopted_model_inputs/eurostat_irt_st_a_snapshot.csv,45ca019864e66f70f8513133a045f619799375dceda21c5301581331b678572c,293187
data/frozen/adopted_model_inputs/eurostat_irt_st_m_snapshot.csv,20a9cb80968576eff3b267d90e0e41009484c6e27648e73996cea032c3040df7,4265507
data/frozen/adopted_model_inputs/eurostat_short_rate_source_notes.md,6b9938c7f75a88ded8c6affe75bcfb96021530d047210ef328f40bf2461aa2ef,1570
data/frozen/adopted_model_inputs/state_variable_standardization_current.csv,5e6035f2b6b234ded71dd4ecaa64835e52e16333a835b222f35eb8d60dde9b5f,543
data/frozen/adopted_model_inputs/tdl_gdppc_spec_catalog.csv,901045aee6b156de6683c3f922ce8971325c5b295fa9074c202cd3fc5bde2b5f,958
data/frozen/adopted_model_inputs/variant_transformations.csv,5a75ba66ff3238e9c8528c271d0bf5de19860d60424ee3ed7971ad76664e2c8d,233
data/frozen/adopted_run_outputs/feature_screen/REPORT.md,75a0de6619ad76d2902430ff69e9d2b20a7e5053aedf5ec28767ffb43537183c,11776
data/frozen/adopted_run_outputs/feature_screen/bootstrap_kernel_draws.csv,2c035512f817c6b8628acf965c16914582dc8a1ef47a27bb5393f48d55049b92,25515
data/frozen/adopted_run_outputs/feature_screen/bootstrap_kernel_summary.csv,c05ea9f942005f3f10fd955628a13831cd1bc4705bb7c65752cf00a196b8fb37,2218
data/frozen/adopted_run_outputs/feature_screen/criteria_literature_map.csv,d866358fba35801c08006f91651c856eb3521168f9efa9dd6e6d2f5eb177e2d0,2879
data/frozen/adopted_run_outputs/feature_screen/feature_robustness_summary.csv,3a7ca2dd8aed1a582ff68d0b9d0bff14030f2e31946d5d161cb35daff60c1b3c,6513
data/frozen/adopted_run_outputs/feature_screen/kernel_h8.csv,724b68a9cdee54ffc9aee5a3480eb391f36bde9d0fccd50d4ee7b50e3bf62a38,5992
data/frozen/adopted_run_outputs/feature_screen/kernel_paths_all_horizons.csv,551c54ee1e422bb4e67e84ced2897e36b6d224819415d02a4b5e6c99e89f7c43,50790
data/frozen/adopted_run_outputs/feature_screen/loo_kernel_draws.csv,c0c444f1cdb54f97f3b29f76e82fbc214fda029cedd0f961a26c12e5c7609e23,36862
data/frozen/adopted_run_outputs/feature_screen/loo_kernel_summary.csv,06169ae9303f6bdfb91feb67cce1b404156576cba4ac8241690978ef76324f6b,2216
data/frozen/adopted_run_outputs/feature_screen/output_interaction_multiplicity_h8.csv,16a619fc2ab157e02579800eb6589026d1770ff897f30e65ed5479f531938063,2200
data/frozen/adopted_run_outputs/feature_screen/output_interaction_wald_h8.csv,af049ed8ce17f11942a5faf09921668d10308f9073aeeb44fff77f3e435092fa,1495
data/frozen/adopted_run_outputs/feature_screen/poland_support_checks.csv,a0ae2ca2c2c4e2788c8d0adb9adcc53f7c141adb34b390e9afd0352ce7a07514,1741
data/frozen/adopted_run_outputs/feature_screen/qa_checks.csv,82f925b18a264a437bb4832ee6db37863ee74854947720b8500b6da9a6974f8d,1595
data/frozen/adopted_run_outputs/feature_screen/run_manifest.json,2e7925155e989d292f4337e804abd37d537a22c63c57c1c4d1344ae8c4d07351,2024
data/frozen/adopted_run_outputs/feature_screen/short_rate_coverage.csv,801a0dec25eb47c31fc45e66848b9f250720b48b8bfc38d730cac058e3c725ba,129489
data/frozen/adopted_run_outputs/feature_screen/time_block_kernel_draws.csv,e4676af415e776bc435caa0b41f9501ca485973305122771306831b36a93fd58,5103
data/frozen/adopted_run_outputs/feature_screen/time_block_kernel_summary.csv,ae8370668fb24702dd5ddbbb4e257a7a96d1b3df56fa15b2a2ba5a02ebdb7001,2206
